latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo
-17.356659,-66.199807,-82,andres,2021-06-28 10:18:06.763000,Prueba Colcapirhua,En automovil,Viva,11,ZTE CORPORATION,736010912233332,MF193A
-17.356736,-66.199412,-81,andres,2021-06-28 10:17:57.747000,Prueba Colcapirhua,En automovil,Viva,12,ZTE CORPORATION,736010912233332,MF193A
-17.356845,-66.198925,-80,andres,2021-06-28 10:17:48.748000,Prueba Colcapirhua,En automovil,Viva,14,ZTE CORPORATION,736010912233332,MF193A
-17.356959,-66.19849,-70,andres,2021-06-28 10:17:39.740000,Prueba Colcapirhua,En automovil,Viva,16,ZTE CORPORATION,736010912233332,MF193A
-17.357409,-66.198301,-75,andres,2021-06-28 10:17:24.738000,Prueba Colcapirhua,En automovil,Viva,15,ZTE CORPORATION,736010912233332,MF193A
-17.357812,-66.198454,-81,andres,2021-06-28 10:17:15.761000,Prueba Colcapirhua,En automovil,Viva,12,ZTE CORPORATION,736010912233332,MF193A
-17.35854,-66.19868,-77,andres,2021-06-28 10:17:06.729000,Prueba Colcapirhua,En automovil,Viva,17,ZTE CORPORATION,736010912233332,MF193A
-17.359078,-66.198862,-75,andres,2021-06-28 10:16:57.728000,Prueba Colcapirhua,En automovil,Viva,18,ZTE CORPORATION,736010912233332,MF193A
-17.359536,-66.199038,-79,andres,2021-06-28 10:16:46.723000,Prueba Colcapirhua,En automovil,Viva,15,ZTE CORPORATION,736010912233332,MF193A
-17.360199,-66.199256,-79,andres,2021-06-28 10:16:37.715000,Prueba Colcapirhua,En automovil,Viva,17,ZTE CORPORATION,736010912233332,MF193A
-17.360541,-66.198759,-69,andres,2021-06-28 10:16:27.711000,Prueba Colcapirhua,En automovil,Viva,16,ZTE CORPORATION,736010912233332,MF193A
-17.360841,-66.198233,-68,andres,2021-06-28 10:16:18.704000,Prueba Colcapirhua,En automovil,Viva,18,ZTE CORPORATION,736010912233332,MF193A
-17.361138,-66.197661,-71,andres,2021-06-28 10:16:08.700000,Prueba Colcapirhua,En automovil,Viva,19,ZTE CORPORATION,736010912233332,MF193A
-17.361433,-66.197107,-71,andres,2021-06-28 10:15:56.697000,Prueba Colcapirhua,En automovil,Viva,21,ZTE CORPORATION,736010912233332,MF193A
-17.362223,-66.197238,-60,andres,2021-06-28 10:15:42.694000,Prueba Colcapirhua,En automovil,Viva,24,ZTE CORPORATION,736010912233332,MF193A
-17.364151,-66.197917,-68,andres,2021-06-28 10:15:23.692000,Prueba Colcapirhua,En automovil,Viva,20,ZTE CORPORATION,736010912233332,MF193A
-17.365094,-66.198242,-67,andres,2021-06-28 10:15:05.687000,Prueba Colcapirhua,En automovil,Viva,20,ZTE CORPORATION,736010912233332,MF193A
-17.36611,-66.198558,-65,andres,2021-06-28 10:14:54.693000,Prueba Colcapirhua,En automovil,Viva,20,ZTE CORPORATION,736010912233332,MF193A
-17.366801,-66.198751,-68,andres,2021-06-28 10:14:42.708000,Prueba Colcapirhua,En automovil,Viva,17,ZTE CORPORATION,736010912233332,MF193A
-17.366878,-66.198572,-73,andres,2021-06-28 10:14:27.383000,Prueba Colcapirhua,En automovil,Viva,17,ZTE CORPORATION,736010912233332,MF193A
