latitud,longitud,tecnologia,mcc,operador,net,lac,cellid,cobertura,fecha,id
-17.382199,-66.174331,UMTS,736,Tigo,3,37800,7247209,1000,2019-08-09 10:54:50+00:00,151645
-17.381672,-66.170987,UMTS,736,Tigo,3,37800,7246987,1095,2019-08-09 10:54:36+00:00,151644
-17.384484,-66.151715,UMTS,736,Tigo,3,37800,7227039,1000,2019-07-27 11:28:22+00:00,151643
-17.387432,-66.158722,LTE,736,Entel,2,44401,10247432,1000,2019-06-08 00:55:57+00:00,151642
-17.387226,-66.158646,LTE,736,Entel,2,44401,10240007,1000,2019-06-08 00:55:39+00:00,151641
-17.387142,-66.158531,LTE,736,Entel,2,44401,10252041,1000,2019-06-08 00:54:55+00:00,151640
-17.393442,-66.158485,LTE,736,Entel,2,44401,10254852,1000,2019-06-08 00:42:50+00:00,151639
-17.393782,-66.174492,UMTS,736,Entel,2,43401,29525364,1000,2019-06-08 00:29:05+00:00,151638
-17.381358,-66.161311,UMTS,736,Entel,2,43401,29524891,1000,2019-04-15 11:53:30+00:00,151637
-17.393543,-66.136889,GSM,736,Tigo,3,27461,24199,1000,2019-04-14 12:52:54+00:00,151636
-17.393435,-66.158752,LTE,736,Entel,2,44401,10263557,1000,2019-04-13 10:48:03+00:00,151635
-17.393435,-66.158752,UMTS,736,Entel,2,43401,29524941,1000,2019-04-13 10:07:57+00:00,151634
-17.393435,-66.158752,UMTS,736,Entel,2,43401,29524216,1000,2019-04-13 09:48:48+00:00,151633
-17.393227,-66.162987,UMTS,736,Entel,2,43401,29525183,1000,2019-04-13 08:59:26+00:00,151632
-17.393227,-66.162987,UMTS,736,Entel,2,43401,29525182,1000,2019-04-13 09:01:06+00:00,151631
-17.393227,-66.162987,UMTS,736,Entel,2,43401,29525181,1000,2019-04-13 08:51:38+00:00,151630
-17.391376,-66.152809,GSM,736,Tigo,3,27461,24003,1000,2019-04-12 17:50:17+00:00,151629
-17.391376,-66.152809,GSM,736,Tigo,3,27461,14078,1000,2019-04-12 17:50:17+00:00,151628
